approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,3,4,OVL-C0305,inherited,2,3,OVL-C0204,50,0.617284,0.724638,0.806452,3;1;4,OVL-C0204;OVL-C0202;OVL-C0205
overlap,3,5,OVL-C0306,new,,,,,,,,0;4;13;12;7;5;3;1,OVL-C0201;OVL-C0205;OVL-C0214;OVL-C0213;OVL-C0208;OVL-C0206;OVL-C0204;OVL-C0202
overlap,3,6,OVL-C0307,inherited,2,6,OVL-C0207,47,0.854545,0.870370,0.979167,6;12,OVL-C0207;OVL-C0213
overlap,3,7,OVL-C0308,inherited,2,8,OVL-C0209,39,0.780000,0.951220,0.812500,8;11;4;2;3;1,OVL-C0209;OVL-C0212;OVL-C0205;OVL-C0203;OVL-C0204;OVL-C0202
overlap,3,8,OVL-C0309,inherited,2,10,OVL-C0211,31,0.659574,0.885714,0.720930,10;1;3;9;8;5,OVL-C0211;OVL-C0202;OVL-C0204;OVL-C0210;OVL-C0209;OVL-C0206
overlap,3,9,OVL-C0310,inherited,2,11,OVL-C0212,23,0.469388,0.718750,0.575000,11;3;0;13;6;2,OVL-C0212;OVL-C0204;OVL-C0201;OVL-C0214;OVL-C0207;OVL-C0203
overlap,3,10,OVL-C0311,new,,,,,,,,4;9;0,OVL-C0205;OVL-C0210;OVL-C0201
overlap,3,11,OVL-C0312,inherited,2,12,OVL-C0213,25,0.806452,0.833333,0.961538,12,OVL-C0213
overlap,3,12,OVL-C0313,inherited,2,9,OVL-C0210,24,0.615385,0.631579,0.960000,9,OVL-C0210
overlap,3,13,OVL-C0314,new,,,,,,,,1;6,OVL-C0202;OVL-C0207
overlap,3,14,OVL-C0315,inherited,2,13,OVL-C0214,9,0.500000,0.529412,0.900000,13,OVL-C0214
overlap,4,0,OVL-C0401,inherited,3,0,OVL-C0301,53,0.368056,0.546392,0.530000,0;13;4;10;8;9;3;2;1;14;7;5,OVL-C0301;OVL-C0314;OVL-C0305;OVL-C0311;OVL-C0309;OVL-C0310;OVL-C0304;OVL-C0303;OVL-C0302;OVL-C0315;OVL-C0308;OVL-C0306
overlap,4,1,OVL-C0402,inherited,3,4,OVL-C0305,43,0.373913,0.693548,0.447917,4;8;1;7;0;10;5;3;2;14;9,OVL-C0305;OVL-C0309;OVL-C0302;OVL-C0308;OVL-C0301;OVL-C0311;OVL-C0306;OVL-C0304;OVL-C0303;OVL-C0315;OVL-C0310
overlap,4,2,OVL-C0403,inherited,3,3,OVL-C0304,60,0.638298,0.895522,0.689655,3;2;0;13;9;8;4,OVL-C0304;OVL-C0303;OVL-C0301;OVL-C0314;OVL-C0310;OVL-C0309;OVL-C0305
