identity_group,status,birth_snapshot,last_snapshot,lifespan_snapshots,observation_ids,observation_count
dead-OVL-C1001,dead,10,12,3,OVL-C1001=OVL-C1102=OVL-C1204,3
dead-OVL-C1006,dead,10,10,1,OVL-C1006,1
dead-OVL-C1007,dead,10,10,1,OVL-C1007,1
dead-OVL-C1011,dead,10,10,1,OVL-C1011,1
dead-OVL-C1013,dead,10,13,4,OVL-C1013=OVL-C1113=OVL-C1213=OVL-C1310,4
dead-OVL-C1016,dead,10,14,5,OVL-C1016=OVL-C1114=OVL-C1215=OVL-C1314=OVL-C1414,5
dead-OVL-C1101,dead,11,15,5,OVL-C1101=OVL-C1201=OVL-C1304=OVL-C1409=OVL-C1504,5
dead-OVL-C1107,dead,11,14,4,OVL-C1107=OVL-C1207=OVL-C1306=OVL-C1404,4
dead-OVL-C1214,dead,12,18,7,OVL-C1214=OVL-C1312=OVL-C1413=OVL-C1513=OVL-C1611=OVL-C1713=OVL-C1815,7
dead-OVL-C1315,dead,13,13,1,OVL-C1315,1
dead-OVL-C1512,dead,15,15,1,OVL-C1512,1
dead-OVL-C1712,dead,17,18,2,OVL-C1712=OVL-C1811,2
dead-OVL-C1714,dead,17,17,1,OVL-C1714,1
