approach,method,identity_group,stage_index,t_start,t_end,length,stage_type,start_size,end_size,global_P,global_C,global_L,global_R,global_N,global_growth,global_churn,global_revitalization,global_prosp_stability,global_retro_stability,solidity,density,segmentation_error
overlap,classic_size_bottom_up,c07,7,12,15,4,Organic-Growth,51,58,51,58,4,47,11,1.137255,0.078431,0.189655,0.921569,0.810345,0.734375,0.886719,40.555556
overlap,classic_size_bottom_up,c07,8,15,16,2,Dynamic-Growth,58,94,58,94,6,52,42,1.620690,0.103448,0.446809,0.896552,0.553191,0.520000,0.760000,0
overlap,classic_size_bottom_up,c07,9,16,17,2,Turnover-Shrinkage,94,65,94,65,36,58,7,0.691489,0.382979,0.107692,0.617021,0.892308,0.574257,0.787129,0
overlap,classic_size_bottom_up,c07,10,17,18,2,Organic-Growth,65,80,65,80,2,63,17,1.230769,0.030769,0.212500,0.969231,0.787500,0.768293,0.884146,0
overlap,classic_size_bottom_up,c07,11,18,19,2,Turnover-Shrinkage,80,53,80,53,43,37,16,0.662500,0.537500,0.301887,0.462500,0.698113,0.385417,0.692708,0
overlap,classic_size_bottom_up,c08,1,0,2,3,Turnover-Shrinkage,47,41,47,41,11,36,5,0.872340,0.234043,0.121951,0.765957,0.878049,0.660377,0.836478,1.000000
overlap,classic_size_bottom_up,c08,2,2,5,4,Organic-Growth,41,52,41,52,3,38,14,1.268293,0.073171,0.269231,0.926829,0.730769,0.576271,0.788136,22.222222
overlap,classic_size_bottom_up,c08,3,5,10,6,Turnover-Shrinkage,52,36,52,36,20,32,4,0.692308,0.384615,0.111111,0.615385,0.888889,0.388889,0.620370,8.400000
overlap,classic_size_bottom_up,c08,4,10,14,5,Organic-Growth,36,46,36,46,3,33,13,1.277778,0.083333,0.282609,0.916667,0.717391,0.526316,0.736842,10.500000
overlap,classic_size_bottom_up,c08,5,14,19,6,Fluid-Stability,46,47,46,47,10,36,11,1.021739,0.217391,0.234043,0.782609,0.765957,0.492754,0.661836,16.600000
overlap,classic_size_bottom_up,c10,1,14,19,6,Turnover-Shrinkage,44,34,44,34,16,28,6,0.772727,0.363636,0.176471,0.636364,0.823529,0.464286,0.678571,14.000000
overlap,classic_size_bottom_up,c12,1,0,2,3,Organic-Growth,27,38,27,38,2,25,13,1.407407,0.074074,0.342105,0.925926,0.657895,0.595238,0.746032,12.250000
overlap,classic_size_bottom_up,c12,2,2,3,2,Erosion,38,25,38,25,14,24,1,0.657895,0.368421,0.040000,0.631579,0.960000,0.615385,0.807692,0
overlap,classic_size_bottom_up,c12,3,3,5,3,Fluid-Stability,25,27,25,27,1,24,3,1.080000,0.040000,0.111111,0.960000,0.888889,0.857143,0.928571,0.000000
overlap,classic_size_bottom_up,c12,4,5,7,3,Dynamic-Growth,27,49,27,49,3,24,25,1.814815,0.111111,0.510204,0.888889,0.489796,0.418182,0.751515,100.000000
overlap,classic_size_bottom_up,c12,5,7,8,2,Erosion,49,26,49,26,25,24,2,0.530612,0.510204,0.076923,0.489796,0.923077,0.470588,0.735294,0
overlap,classic_size_bottom_up,c12,6,8,13,6,Organic-Growth,26,29,26,29,0,26,3,1.115385,0.000000,0.103448,1.000000,0.896552,0.628571,0.795238,6.000000
overlap,classic_size_bottom_up,c12,7,13,14,2,Organic-Growth,29,50,29,50,1,28,22,1.724138,0.034483,0.440000,0.965517,0.560000,0.549020,0.774510,0
overlap,classic_size_bottom_up,c12,8,14,15,2,Erosion,50,27,50,27,24,26,1,0.540000,0.480000,0.037037,0.520000,0.962963,0.509804,0.754902,0
overlap,classic_size_bottom_up,c12,9,15,16,2,Dynamic-Growth,27,51,27,51,3,24,27,1.888889,0.111111,0.529412,0.888889,0.470588,0.444444,0.722222,0
overlap,classic_size_bottom_up,c12,10,16,17,2,Steady-Stability,51,51,51,51,2,49,2,1.000000,0.039216,0.039216,0.960784,0.960784,0.924528,0.962264,0
overlap,classic_size_bottom_up,c12,11,17,18,2,Erosion,51,30,51,30,24,27,3,0.588235,0.470588,0.100000,0.529412,0.900000,0.500000,0.750000,0
overlap,classic_size_bottom_up,c12,12,18,19,2,Steady-Stability,30,30,30,30,1,29,1,1.000000,0.033333,0.033333,0.966667,0.966667,0.935484,0.967742,0
overlap,classic_size_bottom_up,c13,1,17,19,3,Erosion,38,26,38,26,13,25,1,0.684211,0.342105,0.038462,0.657895,0.961538,0.589744,0.760684,49.000000
overlap,classic_size_bottom_up,c14,1,15,19,5,Fluid-Stability,22,22,22,22,4,18,4,1.000000,0.181818,0.181818,0.818182,0.818182,0.562500,0.737500,24.000000
overlap,classic_size_bottom_up,c16,1,18,19,2,Steady-Stability,21,19,21,19,2,19,0,0.904762,0.095238,0.000000,0.904762,1.000000,0.904762,0.952381,0
overlap,classic_size_bottom_up,c18,1,18,19,2,Steady-Stability,4,4,4,4,0,4,0,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0
