observation_id,overlapped_identity_groups,overlapped_group_count
CUM-C0713,c07;c14,2
CUM-C0801,c01;c02;c05;c06;c07;dead-CUM-C0910,6
CUM-C0802,c01;c03;c04;c05;c07;dead-CUM-C0007,6
CUM-C0803,c01;c02;c03;c06,4
CUM-C0804,c01;c04;c05,3
CUM-C0805,c02;c04;c05;c07;c08,5
CUM-C0806,c03;c06,2
CUM-C0807,c01;c12;c13;dead-CUM-C0007,4
CUM-C0808,c03;c05;c07;c08,4
CUM-C0809,c01;c02;c09;c12,4
CUM-C0810,c01;c06;c08,3
CUM-C0811,c02;c03;c07;c11,4
CUM-C0812,c10,1
CUM-C0813,c14,1
CUM-C0901,c01;c03;c04;c08;c15;dead-CUM-C0007,6
CUM-C0902,c01;c02;c05;c06,4
CUM-C0903,c03;c06,2
CUM-C0904,c03;c04;c05;c07,4
CUM-C0905,c03;c04,2
CUM-C0906,c01;c02;c06;c08,4
CUM-C0907,c01;c03;c07;c11,4
CUM-C0908,c05;c07;c08,3
CUM-C0909,c09,1
CUM-C0910,c01;c15,2
CUM-C0911,c01;c09;c12;dead-CUM-C0007,4
CUM-C0912,c10,1
CUM-C0913,c11,1
CUM-C0914,c13;dead-CUM-C0007,2
CUM-C0915,c14,1
CUM-C1001,c01;c02;c06;c07;c12;dead-CUM-C0910,6
CUM-C1002,c02,1
CUM-C1003,c03;c07,2
CUM-C1004,c01;c04,2
CUM-C1005,c05;c08,2
CUM-C1006,c02;c06,2
CUM-C1007,c05;c07;c08,3
CUM-C1008,c01;c08,2
CUM-C1009,c09,1
CUM-C1010,c10,1
CUM-C1011,c11,1
CUM-C1012,c12,1
CUM-C1013,c13,1
CUM-C1014,c14,1
CUM-C1015,c01;dead-CUM-C0910,2
